Country,Latitude,Longitude,Products
Andorra,42.546245,1.6015540000000001,19
Anguilla,18.220554,-63.068615,3
Antigua and Barbuda,17.060816,-61.796428000000006,13
Argentina,-38.416097,-63.616671999999994,4
Aruba,12.52111,-69.968338,1
Australia,-25.274398,133.775136,67
Austria,47.516231,14.550072,15
Bahamas,25.03428,-77.39628,24
Barbados,13.193887,-59.543198,155
Belgium,50.503887,4.469936,25
Belize,17.189877,-88.49765,24
Bermuda,32.321384,-64.75737,6
"Bonaire, Sint Eustatius and Saba",17.48251,-62.985958,1
Brazil,-14.235004,-51.92528,89
British Virgin Islands,18.420695000000002,-64.63996800000001,1
British West Indies,22.702247,-75.068757,11
Bulgaria,42.733883,25.48583,1
Cambodia,12.565679,104.990963,1
Canada,56.130366,-106.34677099999999,67
Cape Verde,16.002082,-24.013197,2
Caribbean,17.094198,-70.366606,393
Cayman Islands,19.513469,-80.566956,21
Colombia,4.570868,-74.297333,70
Costa Rica,9.748917,-83.753428,32
Cuba,21.521757,-77.78116700000001,129
Curaçao,12.12161,-68.949417,4
Czech Republic,49.817492,15.472961999999999,25
Denmark,56.26392,9.501785,120
Dominica,15.414999,-61.370976,11
Dominican Republic,18.735692999999998,-70.162651,248
Ecuador,-1.8312389999999998,-78.183406,15
El Salvador,13.794185,-88.89653,9
Estonia,58.595271999999994,25.013607,16
Fiji,-16.578193,179.414413,17
Finland,61.92411,25.748151,7
France,46.227638,2.213749,82
French Polynesia,-17.679742,-149.40684299999998,11
Germany,51.165690999999995,10.451526,128
Greece,39.074208,21.824312,1
Grenada,12.262775999999999,-61.604170999999994,21
Guadeloupe,16.995971,-62.067641,209
Guatemala,15.783470999999999,-90.23075899999999,56
Guyana,4.860416000000001,-58.93018000000001,94
Haiti,18.971187,-72.28521500000001,19
Honduras,15.199998999999998,-86.241905,3
Hungary,47.162494,19.503304,2
India,20.593684,78.96288,47
Indonesia,-0.789275,113.921327,9
Ireland,53.41291,-8.243889999999999,1
Italy,41.87194,12.56738,119
Jamaica,18.109581,-77.297508,150
Japan,36.204824,138.252924,11
Kenya,-0.023559,37.906193,1
Liechtenstein,47.166000000000004,9.555373,1
Lithuania,55.169438,23.881275,3
Madagascar,-18.766947000000002,46.869107,17
Malta,35.937496,14.375416,1
Martinique,14.641528,-61.024174,363
Mauritius,-20.348404000000002,57.552152,100
Mexico,23.634501,-102.552784,79
Myanmar,21.913965,95.956223,3
Nepal,28.394857000000002,84.12400799999999,3
Netherlands,52.132633,5.291266,36
Netherlands Antilles,12.424014,-68.940783,5
New Zealand,-40.900557,174.88597099999998,17
Nicaragua,12.865416,-85.207229,42
Panama,8.537981,-80.782127,147
Paraguay,-23.442503,-58.44383199999999,4
Peru,-9.189967,-75.015152,24
Philippines,12.879721,121.77401699999999,20
Poland,51.919438,19.145135999999997,1
Portugal,39.399871999999995,-8.224454,17
Puerto Rico,18.220833,-66.590149,127
Romania,45.943160999999996,24.96676,2
Rwanda,-1.940278,29.873888,1
Réunion,-21.115141,55.536384,63
Saint Barthélemy,17.89502,-62.849319,2
Saint Kitts and Nevis,17.357822,-62.782998,15
Saint Lucia,13.909444,-60.97889300000001,42
Saint Martin,18.069,-63.085239,16
Saint Vincent and the Grenadines,12.984305,-61.287228000000006,6
Seychelles,-4.679574,55.491977,9
Slovakia,48.669026,19.699023999999998,2
South Africa,-30.559482,22.937506,11
Spain,40.463667,-3.7492199999999998,81
Sri Lanka,7.873054,80.77179699999999,3
Suriname,3.9193050000000005,-56.02778299999999,9
Sweden,60.128161,18.643501,16
Switzerland,46.818188,8.227511999999999,15
Thailand,15.870032,100.992541,15
Trinidad and Tobago,10.691803,-61.222503,91
Turks and Caicos Islands,21.694025,-71.797928,3
United Arab Emirates,23.424076,53.847818000000004,1
United Kingdom,55.378051,-3.435973,264
United States,37.09024,-95.712891,1089
United States Minor Outlying Islands,13.91944,-176.692596,5
Venezuela,6.42375,-66.58973,79
Vietnam,14.058323999999999,108.277199,3
"Virgin Islands, British",18.420695000000002,-64.63996800000001,16
"Virgin Islands, U.S.",18.335765,-64.896335,49
