country,description,name,num_ratings,rating,rum_type
Cuba,,Santiago de Cuba Extra Anejo 12-Year,68,7.0,Aged
Puerto Rico,,Captain Morgan 1671,75,7.2,Spiced
Guatemala,Ron Zacapa Centario 15 is blended in a solera system using rums aged between 6 and 23 years. It is distilled in Guatemala and distributed by Diageo. ,Ron Zacapa Centenario 15,88,7.1,Aged
Venezuela,,Pampero Especial,103,5.3,Aged
Mauritius,"Gold of Mauritius Dark Rum is produced from molasses which is aged for 3 months in port wine barrels before being filtered, followed by another 8-12 months. The Gold of Mauritius Dark Rum molasses is supplied by Grays Distillery, a wine, sprits and liqueur producer founded in 1935 in Mauritius that makes 6 million litres of alcohol each year. ",Gold of Mauritius Dark,122,7.0,Dark
Barbados,,Doorly's 12-Year,143,7.8,Aged
Peru,,Cartavio XO,199,8.3,Aged
Caribbean,,Plantation Pineapple Stiggin's Fancy,298,7.2,Flavored
Nicaragua,"A sugar-free 18-year old, ultra premium rum that is sustainably produced (Carbon Neutral & Fair Trade certified). From a 5th generation family estate, it is naturally aged without artificial ingredients, distilled 100% with renewable energy and KOSHER certified. A full-bodied rum with a long and smooth finish that lingers in the palate. Best enjoyed neat or on a rock, with a peel of orange. ",Flor de Caña 18-Year,417,7.4,Aged
Caribbean,,Tres Hombres 2015 Captain's Choice 21-Year,9,8.7,Aged
Turks and Caicos Islands,,Bambarra Reserve,9,7.8,Aged
Japan,,Nine Leaves Almost Spring,9,5.0,Aged
Puerto Rico,,Bacardi Peach Red,9,3.2,Flavored
Belize,,Travellers 5 Barrel,10,6.3,Aged
Haiti,,Barbancourt Traditional White,10,5.6,Light
Germany,,Tiki Lovers Pineapple,10,5.0,Flavored
Mexico,,Macollo Anejo 7-Year,0,0.0,Gold
United States,"Sand Island White rum, a hybrid pot/column-distilled, panela cane sugar (evaporated cane juice)-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Sand Island White,0,0.0,Light
United States,,Resurgence Gold,0,0.0,Gold
United States,,Oak & Palm Palm and oak,0,0.0,Flavored
Thailand,,Black Mask Black Premo,0,0.0,Dark
United Kingdom,,Cadenhead's Cuban Green Label 11-Year,0,0.0,Aged
"Virgin Islands, British",,Caribaya White,0,0.0,Light
United States,"Devil’s Own Tropical Cinnamon rum, a version of their base rum infused with cinnamon sticks, hibiscus flower, orange and lemon zest, and other natural flavors and bottled at 80 proof. via  American Rum Report ",Devil's Own Tropical Cinnamon,0,0.0,Flavored
United States,"Tresillo Gold rum, a hybrid pot/column-distilled, Louisiana cane sugar-based rum that’s aged for an unspecified amount of time, double charcoal filtered, and bottled at 80 proof. via  American Rum Report ",Tresillo Gold,0,0.0,Gold
United States,"Raising Cane Gold rum, a version of the base used in their White Rum that’s aged in Indiana oak barrels for six months and bottled at 80 proof. via  American Rum Report ",Raising Cane Gold,0,0.0,Gold
"Venezuela, Bolivarian Republic of",,Diplomatico 2002 Botucal Single Vintage,10,9.0,Aged
Germany,,B13 13-Year,10,9.1,Aged
Caribbean,,Plantation Multi-Island,10,7.5,Aged
Guadeloupe,,Bellevue 1821 10-Year,10,8.1,Aged
Cuba,,Santero Anejo,10,4.1,Gold
Dominican Republic,,Barcelo Cream,10,7.1,Flavored
